track,artist,spotify_playlist,spotify_charts,spotify_streams,apple_playlist,deezer_playlist,deezer_charts,shazam_charts,datetime,is_outlier
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",553.0,147.0,141381703.0,43.0,45.0,10.0,826.0,2023-07-14,False
LALA,Myke Towers,1474.0,48.0,133716286.0,48.0,58.0,14.0,382.0,2023-03-23,False
vampire,Olivia Rodrigo,1397.0,113.0,140003974.0,94.0,91.0,14.0,949.0,2023-06-30,False
Cruel Summer,Taylor Swift,7858.0,100.0,800840817.0,116.0,125.0,12.0,548.0,2019-08-23,False
WHERE SHE GOES,Bad Bunny,3133.0,50.0,303236322.0,84.0,87.0,15.0,425.0,2023-05-18,False
Sprinter,"Dave, Central Cee",2186.0,91.0,183706234.0,67.0,88.0,17.0,946.0,2023-06-01,False
Ella Baila Sola,"Eslabon Armado, Peso Pluma",3090.0,50.0,725980112.0,34.0,43.0,13.0,418.0,2023-03-16,False
Columbia,Quevedo,714.0,43.0,58149378.0,25.0,30.0,13.0,194.0,2023-07-07,False
fukumean,Gunna,1096.0,83.0,95217315.0,60.0,48.0,11.0,953.0,2023-05-15,False
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2953.0,44.0,553634067.0,49.0,66.0,13.0,339.0,2023-03-17,False
un x100to,"Bad Bunny, Grupo Frontera",2876.0,40.0,505671438.0,41.0,54.0,12.0,251.0,2023-04-17,False
Super Shy,NewJeans,422.0,55.0,58255150.0,37.0,21.0,5.0,168.0,2023-07-07,False
Flowers,Miley Cyrus,12211.0,115.0,1316855716.0,300.0,745.0,58.0,1021.0,2023-01-12,False
Daylight,David Kushner,3528.0,98.0,387570742.0,80.0,182.0,24.0,1281.0,2023-04-14,False
As It Was,Harry Styles,23575.0,130.0,2513188493.0,403.0,863.0,46.0,2.0,2022-03-31,False
Kill Bill,SZA,8109.0,77.0,1163093654.0,183.0,161.0,12.0,187.0,2022-12-08,False
Cupid - Twin Ver.,Fifty Fifty,2942.0,77.0,496795686.0,91.0,78.0,6.0,0.0,2023-02-24,False
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,873.0,104.0,30546883.0,80.0,95.0,24.0,1173.0,2023-07-13,False
Classy 101,"Feid, Young Miko",2610.0,40.0,335222234.0,43.0,54.0,14.0,187.0,2023-03-31,False
Like Crazy,Jimin,596.0,68.0,363369738.0,8.0,23.0,2.0,29.0,2023-03-24,False
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",332.0,26.0,86444842.0,11.0,10.0,4.0,0.0,2023-06-22,False
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,516.0,38.0,52135248.0,73.0,42.0,1.0,150.0,2023-07-07,False
I Wanna Be Yours,Arctic Monkeys,12859.0,110.0,1297026226.0,24.0,582.0,2.0,73.0,2013-01-01,False
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",1313.0,40.0,200647221.0,17.0,32.0,11.0,139.0,2023-05-31,False
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",1945.0,87.0,115364561.0,74.0,87.0,14.0,1093.0,2023-06-02,False
SABOR FRESA,Fuerza Regida,250.0,26.0,78300654.0,16.0,10.0,5.0,168.0,2023-06-22,False
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",7112.0,77.0,899183384.0,202.0,318.0,38.0,96.0,2022-03-25,False
MOJABI GHOST,"Tainy, Bad Bunny",859.0,40.0,61245289.0,35.0,41.0,14.0,211.0,2023-06-29,False
Last Night,Morgan Wallen,2420.0,19.0,429829812.0,52.0,15.0,1.0,325.0,2023-01-31,False
Dance The Night (From Barbie The Album),Dua Lipa,2988.0,101.0,127408954.0,0.0,143.0,38.0,0.0,2023-05-25,False
Rush,Troye Sivan,864.0,78.0,22581161.0,71.0,50.0,1.0,294.0,2023-07-13,False
TULUM,"Peso Pluma, Grupo Frontera",266.0,34.0,52294266.0,20.0,13.0,8.0,197.0,2023-06-28,False
Creepin',"The Weeknd, 21 Savage, Metro Boomin",6036.0,88.0,843957510.0,113.0,245.0,23.0,27.0,2022-12-02,False
Anti-Hero,Taylor Swift,9082.0,56.0,999748277.0,242.0,165.0,9.0,310.0,2022-10-21,False
TQG,"Karol G, Shakira",4284.0,49.0,618990393.0,115.0,184.0,18.0,354.0,2023-02-23,False
